doc,shootingID,outlet,,
4912,1,foxnews,10/3/18,"Masked gunman targeting victims in Chicago neighborhood, 2 men killed over 2 days, police say"
4933,2,foxnews,10/3/18,"Philadelphia shooting outside dollar store leaves 5 injured, 1 critical: report"
5120,2,foxnews,10/3/18,"Philadelphia shooting outside dollar store leaves 1 dead, 4 injured: report"
265,3,breitbart,10/3/18,"1 Officer Dead, 4 Wounded in Florence, South Carolina Shooting | Breitbart"
5135,3,foxnews,10/3/18,"South Carolina shooting injures 3 deputies, 2 officers, reports say"
5136,3,foxnews,10/3/18,"South Carolina shooting leaves 1 officer dead, 6 others wounded: police"
12827,3,nytimes,10/3/18,"7 Law Enforcement Officers Shot, One Fatally, in South Carolina, Official Says"
5028,3,foxnews,10/4/18,"Disbarred lawyer, 74, suspected of gunning down South Carolina cop: police"
5134,3,foxnews,10/4/18,"Slain South Carolina cop, called 'bravest police officer,' just marked 30 years of service"
13537,3,nytimes,10/16/18,"South Carolina Man Who Ambushed Officers Had 129 Guns at His Home, Sheriff Says"
6726,3,foxnews,10/23/18,Second police officer dies after South Carolina ambush attack
14439,3,nytimes,10/24/18,"South Carolina Police Officer, Ambushed by Gunman With 129 Firearms, Dies 3 Weeks After Attack"
7302,3,foxnews,10/28/18,South Carolina mass shooting: Slain deputy mourned
5843,17,foxnews,10/17/18,"Condition of wounded Tennessee sheriff's deputy improves, suspect killed in shooting"
5962,17,foxnews,10/17/18,"Tennessee sheriff deputy in critical condition, suspect killed in shooting"
5989,17,foxnews,10/17/18,Victims ID’d in apparent Tennessee murder-suicide; family lived in ‘loving home’
6136,17,foxnews,10/18/18,Tennessee children killed in apparent murder-suicide asked to live with mom: report
6568,20,foxnews,10/21/18,"Jacksonville shooting near Jaguars game wounds 6, 3 critically, police say"
6597,20,foxnews,10/21/18,"Official: 6 shot near Florida stadium, possibly gang-linked"
6666,21,foxnews,10/22/18,"Chicago funeral shooting leaves 6 wounded, report says"
7357,21,foxnews,10/29/18,"Chicago's bloody weekend sees 5 shot dead, 38 wounded"
6517,22,foxnews,10/22/18,"3 dead, 7 wounded on Sunday in Chicago, capping off bloody weekend"
6936,22,foxnews,10/25/18,Five men shot in attack near Chicago rail station: report
