"X","document","topic","gamma","outlet","date","location","zip","medianIncome","majorityRace","countyVote","dead","injured","total","childrenHarmed","ideology"
1,"text2","1",0.455863827659031,"breitbart",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
2,"text78","1",0.492487404999909,"breitbart",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
3,"text90","1",0.653407802027276,"breitbart",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
4,"text41","2",0.930198630376601,"breitbart",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
5,"text4624","2",0.860471931571164,"foxnews",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
6,"text4633","2",0.462046215032903,"foxnews",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
7,"text4636","2",0.966552828847596,"foxnews",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
8,"text4650","2",0.853707005101707,"foxnews",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
9,"text4677","2",0.835540475282275,"foxnews",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
10,"text4708","2",0.306078533396406,"foxnews",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
11,"text12538","2",0.627952933664978,"nytimes",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
12,"text12592","2",0.459454153882157,"nytimes",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
13,"text15","3",0.508975292509062,"breitbart",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
14,"text48","3",0.414622388978715,"breitbart",2018-10-01,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
