"","document","topic","gamma","outlet","date"
"1","text15",1,0.968399600941486,"abcnews","2018-10-01"
"2","text56",1,0.570262005602921,"abcnews","2018-10-01"
"3","text133",1,0.521655574798597,"abcnews","2018-10-01"
"4","text5500",1,0.550440871210177,"breitbart","2018-10-01"
"5","text5523",1,0.480392460664356,"breitbart","2018-10-01"
"6","text5533",1,0.376136021204877,"breitbart","2018-10-01"
"7","text5606",1,0.360130905142317,"breitbart","2018-10-01"
"8","text5610",1,0.437145905879984,"breitbart","2018-10-01"
"9","text10140",1,0.664573251498515,"cnbc","2018-10-01"
"10","text15142",1,0.858643643342955,"dailykos","2018-10-01"
"11","text15156",1,0.52671703183187,"dailykos","2018-10-01"
"12","text16921",1,0.79088539483225,"foxnews","2018-10-01"
"13","text16934",1,0.677636235578856,"foxnews","2018-10-01"
"14","text16994",1,0.91353559147634,"foxnews","2018-10-01"
"15","text32414",1,0.946703647756774,"newsweek","2018-10-01"
"16","text32415",1,0.937674549427442,"newsweek","2018-10-01"
"17","text32428",1,0.842496746837363,"newsweek","2018-10-01"
"18","text37535",1,0.432392311178742,"newyorker","2018-10-01"
"19","text37545",1,0.948702886266461,"newyorker","2018-10-01"
"20","text38380",1,0.700726477838877,"nytimes","2018-10-01"
"21","text38454",1,0.679896480624221,"nytimes","2018-10-01"
"22","text38461",1,0.408982502872179,"nytimes","2018-10-01"
"23","text50275",1,0.412814694427726,"washingtonpost","2018-10-01"
"24","text92",2,0.578275491489914,"abcnews","2018-10-01"
"25","text5487",2,0.684347398551653,"breitbart","2018-10-01"
"26","text5575",2,0.812548774253629,"breitbart","2018-10-01"
"27","text24809",2,0.493404831934679,"huffingtonpost","2018-10-01"
"28","text24847",2,0.443080028589484,"huffingtonpost","2018-10-01"
"29","text28839",2,0.782163841965144,"infowars","2018-10-01"
"30","text28860",2,0.820719675307839,"infowars","2018-10-01"
"31","text32363",2,0.584355999679033,"newsweek","2018-10-01"
"32","text32389",2,0.37511814605121,"newsweek","2018-10-01"
"33","text38386",2,0.334017388780553,"nytimes","2018-10-01"
"34","text38460",2,0.586626953043704,"nytimes","2018-10-01"
"35","text34",3,0.964394780106183,"abcnews","2018-10-01"
"36","text41",3,0.33698810404339,"abcnews","2018-10-01"
"37","text44",3,0.424770140572999,"abcnews","2018-10-01"
"38","text76",3,0.620531565966924,"abcnews","2018-10-01"
"39","text82",3,0.649809397142987,"abcnews","2018-10-01"
"40","text131",3,0.829351535459141,"abcnews","2018-10-01"
