"","document","topic","gamma","outlet","date"
"1","text37",1,0.409424566615425,"abcnews","2018-10-27"
"2","text322",1,0.438239443473719,"breitbart","2018-10-27"
"3","text938",1,0.408314428024031,"dailykos","2018-10-27"
"4","text949",1,0.578511228583789,"dailykos","2018-10-27"
"5","text955",1,0.864501959414832,"dailykos","2018-10-27"
"6","text1130",1,0.971619287903376,"foxnews","2018-10-27"
"7","text1572",1,0.879662689492856,"huffingtonpost","2018-10-27"
"8","text2086",1,0.958473800843194,"newsweek","2018-10-27"
"9","text2351",1,0.852080555327821,"newyorker","2018-10-27"
"10","text2422",1,0.626451720570074,"nytimes","2018-10-27"
"11","text2432",1,0.322657353899869,"nytimes","2018-10-27"
"12","text2772",1,0.761569367703832,"politico","2018-10-27"
"13","text3028",1,0.841897681167832,"thinkprogress","2018-10-27"
"14","text3072",1,0.469135987691505,"townhall","2018-10-27"
"15","text3073",1,0.614789229223208,"townhall","2018-10-27"
"16","text3154",1,0.706419621481808,"washingtonpost","2018-10-27"
"17","text3173",1,0.335737878584564,"washingtonpost","2018-10-27"
"18","text3176",1,0.844647060970343,"washingtonpost","2018-10-27"
"19","text3178",1,0.893907106088854,"washingtonpost","2018-10-27"
"20","text3241",1,0.893762654843335,"washingtonpost","2018-10-27"
"21","text3368",1,0.917537787466064,"wallstreetjournal","2018-10-27"
"22","text382",2,0.623323060495425,"breitbart","2018-10-27"
"23","text1565",2,0.56890174222495,"huffingtonpost","2018-10-27"
"24","text1839",2,0.631626391248103,"infowars","2018-10-27"
"25","text1841",2,0.852543282516735,"infowars","2018-10-27"
"26","text1846",2,0.385359207917129,"infowars","2018-10-27"
"27","text1851",2,0.866090355116423,"infowars","2018-10-27"
"28","text1858",2,0.728389648517745,"infowars","2018-10-27"
"29","text1865",2,0.765207762840232,"infowars","2018-10-27"
"30","text1867",2,0.872420103264883,"infowars","2018-10-27"
"31","text2060",2,0.757082332254222,"newsweek","2018-10-27"
"32","text18",3,0.464642919081151,"abcnews","2018-10-27"
"33","text318",3,0.631630398201405,"breitbart","2018-10-27"
"34","text344",3,0.432645508169416,"breitbart","2018-10-27"
"35","text356",3,0.753075940087807,"breitbart","2018-10-27"
"36","text378",3,0.409993689400923,"breitbart","2018-10-27"
"37","text650",3,0.787894004738507,"cnbc","2018-10-27"
"38","text935",3,0.775361849656504,"dailykos","2018-10-27"
"39","text936",3,0.910259961150057,"dailykos","2018-10-27"
"40","text958",3,0.446541249948285,"dailykos","2018-10-27"
"41","text1034",3,0.766014902708286,"foxnews","2018-10-27"
"42","text1042",3,0.631365244314608,"foxnews","2018-10-27"
"43","text1051",3,0.949251864391838,"foxnews","2018-10-27"
"44","text1057",3,0.914402722780445,"foxnews","2018-10-27"
"45","text1058",3,0.716705789484658,"foxnews","2018-10-27"
"46","text1064",3,0.886034254850964,"foxnews","2018-10-27"
"47","text1065",3,0.868619867014138,"foxnews","2018-10-27"
"48","text1075",3,0.836356481655146,"foxnews","2018-10-27"
"49","text1092",3,0.625194271539211,"foxnews","2018-10-27"
"50","text1118",3,0.860691259708802,"foxnews","2018-10-27"
"51","text1122",3,0.55706129117679,"foxnews","2018-10-27"
"52","text1137",3,0.668556354550886,"foxnews","2018-10-27"
"53","text1584",3,0.891722846085149,"huffingtonpost","2018-10-27"
"54","text1587",3,0.545309468235319,"huffingtonpost","2018-10-27"
