,outlet,outlet_url,date,time,url_orig,headline,description,author,domain,topic,topic_tags,text
1,wallstreetjournal,https://www.wsj.com/,2018:05:07,9:14:00,https://www.wsj.com/articles/a-surprise-medical-solution-hypnosis-1525698883,A Surprise Medical Solution: Hypnosis,"Major hospitals are finding hypnotherapy can help sufferers of digestive conditions like heartburn, acid reflux and irritable bowel syndrome.",Sumathi Reddy,Health,health,"Acid Reflux, Colitis , Digestive , Gastrointestinal, Heartburn, Hypnosis, Hypnotherapy, Hypnotize, Irritable Bowel Syndrome, Stomach","New York City Sarah Blau settles into a wicker chair, stretching her feet onto an ottoman. In a soothing voice, Laurie Keefer, says, “I’m going to count from one to three, and as I count, your eyelids will get heavy and they’ll close whenever it feels right.”"
2,wallstreetjournal,https://www.wsj.com/,2018:05:07,5:45:00,https://www.wsj.com/articles/air-france-klm-shares-plunge-after-ceo-quits-amid-ongoing-labor-battle-1525686353,Air France-KLM Shares Plunge After CEO Quits Amid Ongoing Labor Battle,"Air France-KLM shares plunged Monday after its chief executive pledged to resign because he had failed to quell labor unrest, throwing the company’s strategy into question.",Sam Schechner,Business,business,"Air France Klm, French Finance Minister Bruno Le Maire, Jean-Marc Janaillac, Labor Dispute, Air France-Klm, Af.fr, Management, Management Moves, Labor, Personnel","Air France-KLM shares plunged Monday after its chief executive pledged to resign because he had failed to quell labor unrest, throwing the company’s strategy into question. Its stock was down more than 13% on Monday, and by half since its recent peak in January, before employees at its Air France unit began a series of strikes over wages, forcing the airline to cut back on its flights, and incurring what the company says is more than €300 million ($358 million) in costs."
3,wallstreetjournal,https://www.wsj.com/,2018:05:07,10:18:00,https://www.wsj.com/articles/as-putin-starts-fourth-term-higher-oil-prices-give-him-some-security-1525702709,"As Putin Starts Fourth Term, Higher Oil Prices Give Him Some Security",Russian President Vladimir Putin began his fourth term with an unexpected weapon in his arsenal against Western sanctions: higher oil prices.,Thomas Grove,Europe,business,"Putin Inauguration, Russia Oil, Russia Politics, Russia Sanctions, Russia U.s., Vladimir Putin, Political, General News, International Relations, International Sanctions","Russian President Vladimir Putinbegan his fourth term on Monday with an unexpected weapon in his arsenal against Western sanctions: higher oil prices. The price of oil is the highest it has been since 2014, pouring much-needed money into government coffers and giving Mr. Putin extra room to maneuver amid growing tensions with the West and protests at home. Mr...."
4,wallstreetjournal,https://www.wsj.com/,2018:05:07,6:02:00,https://www.wsj.com/articles/bigger-than-disney-universal-beijing-parks-construction-budget-doubles-1525687376,Bigger Than Disney: Budget Doubles for Universal’s Beijing Park,"Universal Parks & Resorts and its Chinese partners are expanding plans for a 300-acre theme park in Beijing, doubling their investment to $6.5 billion on heightened optimism about the booming Chinese theme-park market.",Wayne Ma,Business,entertainment,"Harry Potter, Kung Fu Panda, Minions, Nbcuniversal, Shanghai Disney Resort, Toy Story, Transformers, Universal Beijing, Universal Parks & Resorts, Comcast Cl A","Universal Parks & Resorts and its Chinese partners are expanding plans for a 300-acre theme park in Beijing, doubling their investment to $6.5 billion on heightened optimism about the booming Chinese theme-park market, according to a person familiar with the matter. The investment would surpass that of Walt Disney Co.’s Shanghai Disney Resort, which at the time of its 2016 launch cost more than $5.5 billion, and would be the most ever spent on a theme park at the time of opening, according to industry experts."
5,wallstreetjournal,https://www.wsj.com/,2018:05:07,8:01:00,https://www.wsj.com/articles/china-opens-door-to-more-indonesian-palm-oil-as-eu-seeks-import-ban-1525694510,China Opens Door to More Indonesian Palm Oil as EU Seeks Import Ban,"Chinese Premier Li Keqiang signaled that Beijing will increase imports of Indonesian palm oil, expanding a key market for Jakarta as environmental concerns fuel opposition to the product in other parts of the world.",Anita Rachman,Asia,international,"China, Eu, Indonesia, Palm Oil, Palm Oil Exports, Trade, European Union, Li Keqiang, Commodity Markets, Agricultural Commodity Markets","Chinese Premier Li Keqiang signaled Monday that Beijing will increase imports of Indonesian palm oil, expanding a key market for Jakarta as environmental concerns fuel opposition to the product in other parts of the world. After meeting with Indonesian President Joko Widodo during a two-day visit to the country, Mr. Li said China would consider raising this year’s import quota for Indonesian palm oil by at least 500,000 tons, in what would be the second consecutive annual increase. China, the largest buyer of Indonesian palm oil behind India and the European Union, imported 3.7 million tons of the product last year. Indonesia is the world’s largest producer of palm oil, exporting a record of around 30 million tons of crude palm oil and its derivatives in 2017. Production of palm oil, the world’s most widely used vegetable oil, and derivatives that go into making detergents, cosmetics and biofuel, is one of Indonesia’s most important industries, employing millions and bringing in billions of dollars in foreign currency through exports. Indonesian Foreign Minister Retno Marsudi said China needed more palm oil partly because it is developing a biofuel blend of 5% palm oil and diesel. Indonesia and neighboring Malaysia are currently in a trade spat with the European Union, which is seeking to ban the import of palm oil used for biofuel by 2021, largely due to concerns that the development of plantations is contributing to global deforestation. Indonesia and Malaysia account for more than 85% of global palm-oil supply and both have criticized the EU ban as protectionist and designed to safeguard markets for European farmers. The new quota from China will help reduce Indonesia’s dependency on European markets, said Danang Girindrawardana, executive director of the Indonesian Palm Oil Association. Beijing and Jakarta have been expanding ties under Mr. Widodo, with Chinese tourists becoming the top visitors to the Southeast Asian nation and foreign investment rising to record levels. China was Indonesia’s third-largest foreign investor in 2017, with much of the investment going into smelters to refine minerals for export. China is also seeking to build Southeast Asia’s first high-speed railway on Indonesia’s main island of Java, a multibillion-dollar project that so far has been hung up by land-acquisition problems and other issues. Indonesia is seeking to improve its trade balance. Officials said Monday that the economy, the largest in Southeast Asia, expanded 5.06% in the first quarter of 2018, below economists’ expectations, in part because import growth continued to outpace exports."
6,wallstreetjournal,https://www.wsj.com/,2018:05:07,8:36:00,https://www.wsj.com/articles/chinas-plane-nonsense-or-sovereign-right-the-airline-map-flap-1525696597,China’s Plane ‘Nonsense’ or Sovereign Right? The Airline Map Flap,China aviation authorities are threatening to punish foreign airlines operating in China if they refuse to comply with their demands to refer to Taiwan as a part of China on their websites and other marketing materials.,Trefor Moss,World,international,"Autonomous Region, China Sovereignty, Independence, Marketing, Corporate, Industrial News, Political, General News, International Relations, Politics","China aviation authorities are threatening to punish foreign airlines operating in China if they refuse to comply with their demands to refer to Taiwan as a part of China on their websites and other marketing materials. U.S. airlines were among 36 international carriers told in late April to amend their websites to reflect China’s sovereignty claims over Taiwan, and to also accurately show the status of Hong Kong and Macau as Chinese territories."
7,wallstreetjournal,https://www.wsj.com/,2018:05:07,10:45:00,https://www.wsj.com/articles/elliott-makes-offer-to-buy-athenahealth-1525701726,Elliott Makes Offer to Buy Athenahealth,Activist investor Elliott Management Corp. has offered to buy health-care software company Athenahealth Inc. for $160 a share.,Allison Prang,Business,business,"Athenacare, Elliott Management, Merger, Athenahealth, Athn, Elliott Management, Elliott Management Corp., Ownership Changes, Acquisitions, Mergers","Activist investor Elliott Management Corp. has offered to buy health-care software company Athenahealth Inc. ATHN 20.53% for $160 a share. Elliott said the offer is a 27% premium to Athenahealth’s Friday closing price. Shares in Athenahealth rose 24% in Monday morning trading to $155.75 following the announcement. Elliott, which disclosed an 8.9% stake in Athenahealth including derivatives, said in a letter to the company’s board that it “may also be able to substantially improve the proposed price with additional, private diligence.” “It is clear to us and becoming clear to many others that Athenahealth’s potential will never be realized without the kind of operational change that the Company seems unable to deliver,” Elliott said. Elliott also said that last November, it approached the company about going private, but the company “refused to engage.” Athenahealth said in a statement its board will review the unsolicited proposal and “determine the course of action” it believes is best for the company and its shareholders. In recent months, Athenahealth has made several changes to its executive posts. Former General Electric Co. CEO Jeff Immelt became chairman of the company earlier this year, succeeding Athenahealth CEO Jonathan Bush in the role. Athenahealth said Mr. Bush would cede the chairmanship last year as part of a move backed by Elliott and another large investor. The company also hired Marc Levine, a former software company executive, to join the company earlier this year as its finance chief. One of Elliott’s complaints in its letter to Athenahealth’s board was that the company’s “leadership team has lacked stability” noting that the company has had a revolving door of CEOs and that its chief product officer also just left the firm. Elliott disclosed last year that it had a 9.2% stake in the company."
8,wallstreetjournal,https://www.wsj.com/,2018:05:07,10:27:00,https://www.wsj.com/articles/employment-trends-index-rose-in-april-1525703261,Employment Trends Index Rose in April,The Conference Board Employment Trends Index continued to rise in April.,Imani Moise,Economy,business,"Conference Board Employment Trends Index, Conference Board Eti, Employment, Eti, U.s. Economic Growth, U.s. Employment Trends, U.s. Workers, Economic Performance, Indicators, Employment Costs","The Conference Board Employment Trends Index continued to rise in April. Last month’s reading was 108.08 compared with March’s downward-revised reading of 107.37. The index rose 4.9% compared with a year ago. Gad Levanon, North America chief economist at the Conference Board, said in prepared remarks that the upward trend indicates that job..."
9,wallstreetjournal,https://www.wsj.com/,2018:05:07,9:25:00,https://www.wsj.com/articles/filmmakers-mark-and-jay-duplasss-new-book-explores-brotherly-love-with-occasional-sibling-rivalry-1525699555,"Filmmakers Mark and Jay Duplass’s New Book Explores Brotherly Love, With Occasional Sibling Rivalry","Jay and Mark Duplass, brothers whose film and TV credits include “Wild Wild Country,” “Transparent” and “Tully,” filled their new memoir with tips for working in entertainment.",Ellen Gamerman,Books,lifestyle,"Celebrity Memoir, Duplass Brothers, Hollywood, Indie Filmmakers, Jay Duplass, Like Brothers, Mark Duplass, New Books, Transparent Tv, Tv Series","When Mark Duplass was 8 years old and his brother Jay was 12, they often crammed into the same twin bed. Not because they couldn’t sleep alone, but because it was more fun to be together. That image kicks off “Like Brothers,” a memoir by the indie-film duo out on Tuesday that explores their journey from shared mattress to professional bedfellows. In..."
10,wallstreetjournal,https://www.wsj.com/,2018:05:07,8:35:00,https://www.wsj.com/articles/flavors-giant-adds-israeli-spice-in-6-4-billion-deal-1525696525,Flavors Giant Adds Israeli Spice in $6.4 Billion Deal,International Flavors & Fragrances agreed to buy Israel rival Frutarom Industries that combines two of the biggest players in the food flavoring and ingredients industry.,"Anthony Shevlin, Chip Cummins",Business,lifestyle,"Ingredients Industry, International Flavors & Fragrances, Israel Rival Frutarom Industries, Frutarom Industries, International Flavors & Fragrances, Iff, Nestle, Nesn.eb, Nesn.vx, Ownership Changes","International Flavors & Fragrances Inc. agreed to buy Israel rival Frutarom Industries Ltd. in a roughly $6.4 billion cash and stock deal that combines two of the biggest players in the food flavoring and ingredients industry. The global business, still relatively fragmented, provides ingredients, additives, scents, flavorings and textures crucial to the much larger and better-known package-food and consumer-goods industries."
