"","document","topic","gamma","outlet","date"
"1","text6",1,0.828953523821384,"abcnews","2018-06-01"
"2","text32",1,0.715698013355772,"abcnews","2018-06-01"
"3","text42",1,0.717243145929527,"abcnews","2018-06-01"
"4","text46",1,0.844432659419524,"abcnews","2018-06-01"
"5","text57",1,0.524858293433286,"abcnews","2018-06-01"
"6","text106",1,0.372982160803974,"abcnews","2018-06-01"
"7","text108",1,0.537818298196825,"abcnews","2018-06-01"
"8","text114",1,0.734511963695267,"abcnews","2018-06-01"
"9","text134",1,0.724535450313651,"abcnews","2018-06-01"
"10","text137",1,0.714700011197571,"abcnews","2018-06-01"
"11","text220",1,0.727638778097225,"abcnews","2018-06-01"
"12","text10038",1,0.432442289229832,"buzzfeed","2018-06-01"
"13","text23161",1,0.749429653470737,"foxnews","2018-06-01"
"14","text23168",1,0.361172812908722,"foxnews","2018-06-01"
"15","text23173",1,0.842026438895612,"foxnews","2018-06-01"
"16","text23184",1,0.459797322045246,"foxnews","2018-06-01"
"17","text23200",1,0.67794781279344,"foxnews","2018-06-01"
"18","text23207",1,0.489924405840525,"foxnews","2018-06-01"
"19","text23213",1,0.881288162865302,"foxnews","2018-06-01"
"20","text23230",1,0.602247125486019,"foxnews","2018-06-01"
"21","text23246",1,0.47801074728316,"foxnews","2018-06-01"
"22","text23305",1,0.891957734392749,"foxnews","2018-06-01"
"23","text34561",1,0.412582535919585,"nytimes","2018-06-01"
"24","text93",2,0.316725766307017,"abcnews","2018-06-01"
"25","text14541",2,0.440387129427338,"dailykos","2018-06-01"
"26","text34547",2,0.875022371199799,"nytimes","2018-06-01"
"27","text34563",2,0.39334375796523,"nytimes","2018-06-01"
"28","text40155",2,0.367406988192148,"thinkprogress","2018-06-01"
"29","text41504",2,0.317906267987044,"washingtonpost","2018-06-01"
"30","text26",3,0.863171063965651,"abcnews","2018-06-01"
"31","text23154",3,0.615231359822208,"foxnews","2018-06-01"
"32","text23220",3,0.3622646250118,"foxnews","2018-06-01"
