document,topic,gamma,outlet,date
text2,1,0.3667261363645151,breitbart,2018-10-01
text78,1,0.4987770080238538,breitbart,2018-10-01
text90,1,0.6073904829694482,breitbart,2018-10-01
text41,2,0.9208400997638772,breitbart,2018-10-01
text4624,2,0.8071615876637981,foxnews,2018-10-01
text4633,2,0.28150313568921415,foxnews,2018-10-01
text4636,2,0.8156081121008012,foxnews,2018-10-01
text4650,2,0.7551035872439015,foxnews,2018-10-01
text4677,2,0.6550483595470138,foxnews,2018-10-01
text12538,2,0.2897780244085644,nytimes,2018-10-01
text125,3,0.2810041270223892,breitbart,2018-10-01
text4644,3,0.5828205082160915,foxnews,2018-10-01
text4657,3,0.5856443464011666,foxnews,2018-10-01
text4717,3,0.8532392211678304,foxnews,2018-10-01
text12537,3,0.5125783449677868,nytimes,2018-10-01
text12611,3,0.41674161687066347,nytimes,2018-10-01
text15,4,0.22909873233082992,breitbart,2018-10-01
text12543,4,0.3910990923281909,nytimes,2018-10-01
text12618,4,0.24832447167357985,nytimes,2018-10-01
text4620,6,0.2772397557784081,foxnews,2018-10-01
text12592,7,0.1988903285253748,nytimes,2018-10-01
text38,8,0.2642930640001485,breitbart,2018-10-01
text4652,8,0.2779609463583354,foxnews,2018-10-01
text48,10,0.3733026698189278,breitbart,2018-10-01
text121,11,0.4696796707418207,breitbart,2018-10-01
text12617,11,0.3106549859744018,nytimes,2018-10-01
text4768,12,0.2042827755228541,foxnews,2018-10-01
text4803,12,0.5395045686724848,foxnews,2018-10-01
text12625,12,0.23215532715001877,nytimes,2018-10-01
text4708,13,0.2477718398103473,foxnews,2018-10-01
text117,1,0.5024185520084198,breitbart,2018-10-02
text170,1,0.5332997169938256,breitbart,2018-10-02
text4692,2,0.5522067450232591,foxnews,2018-10-02
text4774,2,0.2720680383993021,foxnews,2018-10-02
text4791,2,0.6564069528292719,foxnews,2018-10-02
text4805,2,0.5703470145484076,foxnews,2018-10-02
text12654,2,0.34656233404449066,nytimes,2018-10-02
text12692,2,0.5555715066327677,nytimes,2018-10-02
text4686,3,0.37525811962411415,foxnews,2018-10-02
text5114,3,0.1908856304102241,foxnews,2018-10-02
text12564,3,0.5140944230429562,nytimes,2018-10-02
text12691,3,0.21410149415029672,nytimes,2018-10-02
text12748,3,0.35607686843557923,nytimes,2018-10-02
text18859,3,0.29361812409565236,wallstreetjournal,2018-10-02
text12572,4,0.42499936691604273,nytimes,2018-10-02
text4715,6,0.3731839023995397,foxnews,2018-10-02
text103,9,0.5621906855767427,breitbart,2018-10-02
text144,10,0.18940318909442527,breitbart,2018-10-02
text187,10,0.2816706306324896,breitbart,2018-10-02
text4808,10,0.24523610237622856,foxnews,2018-10-02
text12735,10,0.37378229580472805,nytimes,2018-10-02
text12623,12,0.4405034775678979,nytimes,2018-10-02
text12666,12,0.41812470529726325,nytimes,2018-10-02
text66,13,0.1910967711918585,breitbart,2018-10-02
text4842,14,0.3105730677895947,foxnews,2018-10-02
text4909,14,0.6469013507002535,foxnews,2018-10-02
text4954,14,0.576643883065295,foxnews,2018-10-02
text4955,14,0.37562587676869397,foxnews,2018-10-02
text211,1,0.6122358938889049,breitbart,2018-10-03
text313,1,0.8191564495008029,breitbart,2018-10-03
text4863,1,0.30520284711335594,foxnews,2018-10-03
text265,2,0.6004873125632592,breitbart,2018-10-03
text4900,2,0.2695509581168538,foxnews,2018-10-03
text4912,2,0.5668247682613918,foxnews,2018-10-03
text4924,2,0.514356661042883,foxnews,2018-10-03
text4933,2,0.8443503208027813,foxnews,2018-10-03
text4940,2,0.32220505273450945,foxnews,2018-10-03
text5120,2,0.750782742379079,foxnews,2018-10-03
text5135,2,0.7807635665438533,foxnews,2018-10-03
text5136,2,0.7625602992544928,foxnews,2018-10-03
text12764,2,0.28718769883431605,nytimes,2018-10-03
text12827,2,0.6212127779608682,nytimes,2018-10-03
text4843,3,0.34037419053123424,foxnews,2018-10-03
text4891,3,0.3337935009207812,foxnews,2018-10-03
text12730,3,0.3589759062859351,nytimes,2018-10-03
text12851,3,0.5111551430896469,nytimes,2018-10-03
text12946,3,0.5152833876813381,nytimes,2018-10-03
text18963,3,0.9180567540603867,wallstreetjournal,2018-10-03
text12715,4,0.5336841034071677,nytimes,2018-10-03
text4925,10,0.23467540780372365,foxnews,2018-10-03
text4943,10,0.558423090309916,foxnews,2018-10-03
text12657,10,0.2642345293529336,nytimes,2018-10-03
text12839,10,0.40562383881153374,nytimes,2018-10-03
text4860,12,0.23894423803591458,foxnews,2018-10-03
text4893,12,0.2638774534257495,foxnews,2018-10-03
text5034,12,0.2465845950629257,foxnews,2018-10-03
text312,1,0.8135433195895055,breitbart,2018-10-04
text276,2,0.5120432697752303,breitbart,2018-10-04
text284,2,0.3816711004430666,breitbart,2018-10-04
text427,2,0.7289600022097927,breitbart,2018-10-04
text5011,2,0.44286266886663933,foxnews,2018-10-04
text5012,2,0.4913307183208657,foxnews,2018-10-04
text5028,2,0.5743565272336544,foxnews,2018-10-04
text5032,2,0.2707320036859211,foxnews,2018-10-04
text5039,2,0.3268436758425334,foxnews,2018-10-04
text5112,2,0.24853086058907012,foxnews,2018-10-04
text5124,2,0.4919912757456137,foxnews,2018-10-04
text5134,2,0.4600817796532746,foxnews,2018-10-04
text12796,2,0.44030367954358296,nytimes,2018-10-04
text12941,2,0.3748696838741234,nytimes,2018-10-04
text12944,2,0.36941373568786334,nytimes,2018-10-04
text12781,3,0.4139271602077479,nytimes,2018-10-04
text12824,3,0.2880788301384917,nytimes,2018-10-04
text12901,3,0.2142819965102537,nytimes,2018-10-04
text13032,3,0.6133074270012568,nytimes,2018-10-04
text13078,3,0.8179854015717248,nytimes,2018-10-04
text12757,4,0.2613864001472676,nytimes,2018-10-04
