Date,Location,zip code,"Median household income of zip code
https://www.incomebyzipcode.com/","Majority race in zip code (list any over 10%
https://www.unitedstateszipcodes.org/77018/","If county voted for Trump in the last election
https://uselectionatlas.org/RESULTS/",Dead,Injured,Total,Children killed/injured? Binary,Race of shooter,Gender of shooter,Motive of shooter (if known),Murder/suicide? Binary,Description
"November 26, 2018","Powell, Tennessee",75153,"$36,650",White,Yes,0,4,4,Yes,,Male,,No,Four people were wounded in a shooting. Two suspects were taken into custody by police.
"November 25, 2018","Houston, Texas",77018,"$81,565",White,No,1,6,7,Yes,,Male,Gang related?,No,"A thirteen-year-old boy was killed and six other people were injured in a shooting at a block party. At least two shooters were involved, and police believe it may have been gang-related."
"November 25, 2018","Demopolis, Alabama",36732,"$27,377",Black,No,2,2,4,No,,,,No,Two people were killed and two others were wounded in a shooting at an intersection.
"November 25, 2018","Oakland, California",94607,"$41,870",Black,No,0,4,4,No,,,,No,Four people were wounded in adrive-by shootingwhile attending a vigil for a resident of their area who had died of natural causes.
"November 24, 2018","Orlando, Florida",32839,"$34,972",Black,No,2,2,4,No,,,,No,Two people were killed and two others were wounded in a shooting outside a pizza shop. A suspect was taken into custody by police.
"November 23, 2018","Miami, Florida",33142,"$23,346",Black,No,2,2,4,Yes,Black,Male,,No,"Two people were killed and five others were wounded in a shooting outside of a convenience store. Two of the injured were hit with bullets, the other three were injured in other ways."
"November 22, 2018","Fort Wayne, Indiana",46816,"$34,989",White,Yes,3,2,5,No,,Male,Drugs/robbery,No,"Three people were killed and two others were injured in ahome invasionshooting. One person was arrested the next day, and police suspect another person was involved."
"November 21, 2018","St. Louis, Missouri",63115,"$23,780",Black,No,0,4,4,No,,,,No,Four people were injured in a shooting in thePenroseneighborhood of St. Louis.
"November 19, 2018","Denver, Colorado",80205,"$62,865",White,No,1,3,4,No,Black,Male,Gang related,No,One person was killed and three others were injured in a shooting in theLoDoneighborhood.
"November 19, 2018","Philadelphia, Pennsylvania",19143,"$32,741",Black,No,4,0,4,Yes,,Male,Drugs,No,Four people were discovered shotexecution stylein the head in a basement of a home.
"November 19, 2018","Chicago, Illinois",60616,"$46,340",Asian,No,4,0,4,No,,Male,Domestic violence,Maybe,"Mercy Hospital shooting: A gunman opened fire in theMercy Hospital and Medical Centerin Chicago, killing a doctor at the hospital who was his former fiancée, a police officer, and one other person before being killed either by himself or by police."
"November 18, 2018","Los Angeles, California",90002,"$34,000",Latino,No,1,3,4,Yes,,Male,Domestic violence,No,"A man killed his girlfriend and wounded his uncle and grandmother in a shooting inWatts, Los Angeles. The shooter was also injured, either during a confrontation with police or by a self-inflicted gunshot."
"November 16, 2018","Little Rock, Arkansas",72204,"$33,110",Black,No,3,1,4,Yes,Black,Male,,No,"Police found a boy suffering from gunshot injuries, then discovered a car that had crashed into a ditch. Inside the car were three people who had all been shot and killed."
"November 16, 2018","Wheatland, Wisconsin",53168,"$74,088",White,Yes,1,3,4,No,Black,Male,Drugs,No,"Two people were shot inside a home, and two others were shot at a gas station. One of the victims later died of their injuries."
"November 14, 2018","Baton Rouge, Louisiana",70802,"$24,920",Black,No,3,1,4,No,,,,No,Three people were killed and one person was injured in a shooting.
"November 13, 2018","Indianapolis, Indiana",46231,"$62,390",White,No,2,2,4,No,Black,Male,Drugs/robbery,No,A man killed two people and wounded two others after shooting them during what police believe to be a drug robbery. One of the deceased men is suspected to have been the perpetrator.
"November 13, 2018","Tsayatoh, New Mexico",87301,"$42,325",Native American,No,4,1,5,No,,Male,,Yes,A person killed three people and injured a fourth before killing themself in a residence in an apparentmurder–suicide.
"November 12, 2018","Dunn, North Carolina",28334,"$36,840",White,Yes,3,1,4,No,,Male,Domestic violence,No,A man killed three people and injured one in a shooting after a fight at a home. The shooter was arrested after crashing a vehicle he stole from the scene.
"November 11, 2018","Globe, Arizona",85501,"$41,485",White,Yes,3,3,5,No,,Male,Argument,No,Three people were killed and one injured when a man began firing at 5 individuals at a bar following a pool game. The suspect was arrested.
"November 11, 2018","Robbins, Illinois",60472,"$30,064",Black,No,1,4,5,No,,Male,,No,"Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him."
"November 10, 2018","Memphis, Tennessee",38103,"$64,338",White,No,2,4,6,Yes,,Male,Argument,No,Two people were killed and four people were wounded when they were shot after an argument over gambling.
"November 7, 2018","Thousand Oaks, California",91361,"$116,114",White,No,13,12,25,No,,Male,,Yes,"Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed twelve people, including a police officer. At least twelve people were injured. The gunman then killed himself."
"November 3, 2018","Watertown, New York",13601,"$46,365",White,Yes,0,5,5,No,,Male,,No,Five people were wounded in a shooting outside of a nightclub. The suspect was taken into custody by police.
"November 2, 2018","Long Beach, California",90805,"$47,981",White,No,0,4,4,Yes,,,Gang-related,No,Four people were injured in a shooting inNorth Long Beach. Police suspect the incident was gang-related.
"November 2, 2018","Tallahassee, Florida",32303,"$47,320",White,No,3,5,8,No,,Male,,Yes,"Tallahassee shooting: A gunman killed two women and injured five others; four by gunfire, one by beingpistol-whipped, at a yoga studio before killing himself in a murder–suicide."
"November 1, 2018","Minneapolis, Minnesota",55412,"$44,069",White,No ,0,5,5,No,,,Argument,No,An argument evolved into a shooting that left five people wounded.
"November 1, 2018","Springfield, Missouri",65803,"$35,871",White,No,2,2,4,No,,Male,,No,Two men were killed and two other people were wounded in a shooting at a home.
"October 31, 2018","Detroit, Michigan",48234,"$25,506",Black,No,1,3,4,Yes,Black,Male,Robery,No,A fifteen-year-old boy was killed and three other people were wounded in a shooting at a home after a robbery.
