Date,Location,zip code,"Median household income of zip code
https://www.incomebyzipcode.com/","Majority race in zip code (list any over 10%
https://www.unitedstateszipcodes.org/77018/","If county voted for Trump in the last election
https://uselectionatlas.org/RESULTS/",Dead,Injured,Total,Children killed/injured? Binary,Murder/suicide? Binary,Description
26-Nov-18,"Powell, Tennessee",75153,"$36,650 ",White,Yes,0,4,4,Yes,No,Four people were wounded in a shooting. Two suspects were taken into custody by police.
25-Nov-18,"Houston, Texas",77018,"$81,565 ",White,No,1,6,7,Yes,No,"A thirteen-year-old boy was killed and six other people were injured in a shooting at a block party. At least two shooters were involved, and police believe it may have been gang-related."
25-Nov-18,"Demopolis, Alabama",36732,"$27,377 ",Black,No,2,2,4,No,No,Two people were killed and two others were wounded in a shooting at an intersection.
25-Nov-18,"Oakland, California",94607,"$41,870 ",Black,No,0,4,4,No,No,Four people were wounded in adrive-by shootingwhile attending a vigil for a resident of their area who had died of natural causes.
24-Nov-18,"Orlando, Florida",32839,"$34,972 ",Black,No,2,2,4,No,No,Two people were killed and two others were wounded in a shooting outside a pizza shop. A suspect was taken into custody by police.
23-Nov-18,"Miami, Florida",33142,"$23,346 ",Black,No,2,2,4,Yes,No,"Two people were killed and five others were wounded in a shooting outside of a convenience store. Two of the injured were hit with bullets, the other three were injured in other ways."
22-Nov-18,"Fort Wayne, Indiana",46816,"$34,989 ",White,Yes,3,2,5,No,No,"Three people were killed and two others were injured in ahome invasionshooting. One person was arrested the next day, and police suspect another person was involved."
21-Nov-18,"St. Louis, Missouri",63115,"$23,780 ",Black,No,0,4,4,No,No,Four people were injured in a shooting in thePenroseneighborhood of St. Louis.
19-Nov-18,"Denver, Colorado",80205,"$62,865 ",White,No,1,3,4,No,No,One person was killed and three others were injured in a shooting in theLoDoneighborhood.
19-Nov-18,"Philadelphia, Pennsylvania",19143,"$32,741 ",Black,No,4,0,4,Yes,No,Four people were discovered shotexecution stylein the head in a basement of a home.
19-Nov-18,"Chicago, Illinois",60616,"$46,340 ",Asian,No,4,0,4,No,Maybe,"Mercy Hospital shooting: A gunman opened fire in theMercy Hospital and Medical Centerin Chicago, killing a doctor at the hospital who was his former fiancée, a police officer, and one other person before being killed either by himself or by police."
18-Nov-18,"Los Angeles, California",90002,"$34,000 ",Latino,No,1,3,4,Yes,No,"A man killed his girlfriend and wounded his uncle and grandmother in a shooting inWatts, Los Angeles. The shooter was also injured, either during a confrontation with police or by a self-inflicted gunshot."
16-Nov-18,"Little Rock, Arkansas",72204,"$33,110 ",Black,No,3,1,4,Yes,No,"Police found a boy suffering from gunshot injuries, then discovered a car that had crashed into a ditch. Inside the car were three people who had all been shot and killed."
