date,total,city,shooting
2018-07-31,5,Gardena,shooting1
2018-07-30,4,Savannah,shooting2
2018-07-30,4,Chicago,shooting3
2018-07-29,4,York,shooting4
2018-07-29,5,Phoenix,shooting5
2018-07-29,4,Lansing,shooting6
2018-07-28,10,New Orleans,shooting7
2018-07-28,6,Los Angeles,shooting8
2018-07-27,4,Chicago,shooting9
2018-07-27,5,Robstown,shooting10
2018-07-26,7,Cleveland,shooting11
2018-07-26,4,Oakland,shooting12
2018-07-26,6,Dallas,shooting13
2018-07-25,4,New Orleans,shooting14
2018-07-23,5,Chicago,shooting15
2018-07-21,4,Baltimore,shooting16
2018-07-21,7,Chicago,shooting17
2018-07-20,5,Sunnyside,shooting18
2018-07-20,4,Elizabeth,shooting19
2018-07-18,4,Oklahoma City,shooting20
2018-07-16,6,Palm Beach Gardens,shooting21
2018-07-16,5,Philadelphia,shooting22
2018-07-16,5,Washington,shooting23
2018-07-15,4,Denver,shooting24
2018-07-15,5,Chattanooga,shooting25
2018-07-14,4,Fort Washington,shooting26
2018-07-13,4,Richmond,shooting27
2018-07-12,5,Memphis,shooting28
2018-07-11,4,Houston,shooting29
2018-07-11,4,Reddick,shooting30
2018-07-09,5,Prices Corner,shooting31
2018-07-09,5,Orlando,shooting32
2018-07-08,6,Lowndes County,shooting33
2018-07-08,4,Memphis,shooting34
2018-07-07,5,Wetumpka,shooting35
2018-07-05,4,Brooklyn,shooting36
2018-07-05,4,Albany,shooting37
2018-07-05,6,Los Angeles,shooting38
2018-07-05,6,Virginia Beach,shooting39
2018-07-05,6,Lima,shooting40
2018-07-04,4,Gary,shooting41
2018-07-04,4,Atlanta,shooting42
2018-07-03,6,Saint Louis,shooting43
2018-07-03,4,Washington,shooting44
2018-07-02,4,Buffalo,shooting45
2018-07-01,6,Chicago,shooting46
2018-06-30,7,Ashburn,shooting47
2018-06-30,6,Baltimore,shooting48
2018-06-30,5,Jersey City,shooting49
2018-06-28,7,Annapolis,shooting50
2018-06-27,4,Oakland,shooting51
2018-06-27,4,San Antonio,shooting52
2018-06-27,4,Hartford,shooting53
2018-06-25,6,Chicago,shooting54
2018-06-24,7,Sanford,shooting55
2018-06-24,4,Punta Gorda,shooting56
2018-06-24,4,Indiantown,shooting57
2018-06-24,4,Palm Beach Gardens,shooting58
2018-06-24,4,Gary,shooting59
2018-06-24,5,Sandusky,shooting60
2018-06-23,4,Wichita,shooting61
2018-06-23,5,Chicago,shooting62
2018-06-23,4,Covington,shooting63
2018-06-22,4,Homestead,shooting64
2018-06-21,4,San Bernardino,shooting65
2018-06-21,4,Morganza,shooting66
2018-06-21,4,Chicago,shooting67
2018-06-20,5,Modesto,shooting68
2018-06-19,4,Huntsville,shooting69
2018-06-18,3,Lakeside,shooting70
2018-06-18,5,Chicago,shooting71
2018-06-18,4,Bloomington,shooting72
2018-06-17,4,Charlotte,shooting73
2018-06-17,23,Trenton,shooting74
2018-06-17,4,Macon,shooting75
2018-06-17,4,Chicago,shooting76
2018-06-14,4,Philadelphia,shooting77
2018-06-14,5,Union City,shooting78
2018-06-14,5,Tracy,shooting79
2018-06-14,5,Buffalo,shooting80
2018-06-14,4,Westminster,shooting81
2018-06-12,4,Bronx,shooting82
2018-06-11,4,Montgomery,shooting83
2018-06-11,6,Orlando,shooting84
2018-06-10,6,Bradenton,shooting85
2018-06-10,6,Valley Village,shooting86
2018-06-10,5,Indianapolis,shooting87
2018-06-10,7,Aurora,shooting88
2018-06-10,4,Bloomington,shooting89
2018-06-10,6,Chicago,shooting90
2018-06-09,4,Boston,shooting91
2018-06-09,4,Kannapolis,shooting92
2018-06-09,5,Philadelphia,shooting93
2018-06-05,4,Jacksonville,shooting94
2018-06-03,5,Dallas,shooting95
2018-06-03,4,Chicago,shooting96
2018-06-02,7,Omaha,shooting97
2018-06-02,5,Buffalo,shooting98
