"","outlet","document","topic","gamma","date","ideology"
"1","breitbart","text5750","3",0.867301031033631,"2018-10-03",4.9
"2","breitbart","text9363","3",0.501991144579565,"2018-11-21",4.9
"3","breitbart","text9852","4",0.63198748919838,"2018-11-28",4.9
"4","breitbart","text7195","4",0.432560825969835,"2018-10-28",4.9
"5","breitbart","text7480","5",0.685648681995105,"2018-10-30",4.9
"6","breitbart","text7278","4",0.835144473846597,"2018-10-28",4.9
"7","breitbart","text6476","2",0.578302301221442,"2018-10-18",4.9
"8","breitbart","text9477","3",0.824009808679886,"2018-11-23",4.9
"9","breitbart","text9073","2",0.70550333156934,"2018-11-19",4.9
"10","breitbart","text7353","1",0.349491054580304,"2018-10-29",4.9
"11","breitbart","text9887","2",0.693481399420559,"2018-11-28",4.9
"12","breitbart","text7581","2",0.612633765642444,"2018-11-01",4.9
"13","breitbart","text9745","2",0.586915739494942,"2018-11-27",4.9
"14","breitbart","text6054","2",0.822065483785501,"2018-10-07",4.9
"15","breitbart","text6086","2",0.713466528899908,"2018-10-07",4.9
"16","breitbart","text6564","3",0.310053515017649,"2018-10-19",4.9
"17","breitbart","text7603","5",0.544875325049346,"2018-10-31",4.9
"18","breitbart","text7371","5",0.66778303194655,"2018-10-30",4.9
"19","breitbart","text9694","1",0.601910397900625,"2018-11-28",4.9
"20","breitbart","text7474","4",0.605279203247898,"2018-10-31",4.9
"21","breitbart","text7098","3",0.616943702710389,"2018-10-26",4.9
"22","breitbart","text7637","2",0.376076792198892,"2018-11-01",4.9
"23","breitbart","text8406","3",0.630695089162765,"2018-11-09",4.9
"24","breitbart","text7957","2",0.633142249639949,"2018-11-05",4.9
"25","breitbart","text7153","1",0.396609519188464,"2018-10-27",4.9
"26","breitbart","text5602","3",0.452715250745334,"2018-10-02",4.9
"27","breitbart","text7037","4",0.539847310669944,"2018-10-25",4.9
"28","breitbart","text8342","2",0.561331005523925,"2018-11-09",4.9
"29","breitbart","text7557","2",0.473950043957006,"2018-11-01",4.9
"30","breitbart","text9875","4",0.454268661586731,"2018-11-28",4.9
"31","breitbart","text8940","4",0.609757807995311,"2018-11-16",4.9
"32","breitbart","text7350","5",0.721284708960492,"2018-10-30",4.9
"33","breitbart","text7472","1",0.661484358000689,"2018-10-31",4.9
"34","breitbart","text5588","2",0.385437058368087,"2018-10-02",4.9
"35","breitbart","text7347","4",0.73015921635446,"2018-10-30",4.9
"36","breitbart","text7936","2",0.382089539949013,"2018-11-05",4.9
"37","breitbart","text9204","3",0.65981511714821,"2018-11-20",4.9
"38","breitbart","text7374","4",0.702717846899484,"2018-10-30",4.9
"39","breitbart","text8194","5",0.318254045572731,"2018-11-08",4.9
"40","breitbart","text7565","2",0.41912642828314,"2018-11-01",4.9
"41","breitbart","text7866","2",0.587405315431241,"2018-11-05",4.9
"42","breitbart","text8760","2",0.426532595103612,"2018-11-14",4.9
"43","breitbart","text8676","5",0.406965550918045,"2018-11-14",4.9
"44","breitbart","text7380","5",0.557648664280869,"2018-10-30",4.9
"45","breitbart","text6528","2",0.679359799767091,"2018-10-18",4.9
"46","breitbart","text6782","4",0.831596870864606,"2018-10-22",4.9
"47","breitbart","text8066","4",0.540025962998185,"2018-11-06",4.9
"48","breitbart","text6866","4",0.448385784310377,"2018-10-23",4.9
"49","breitbart","text6930","2",0.519691190710759,"2018-10-24",4.9
"50","breitbart","text7184","1",0.368568650915822,"2018-10-28",4.9
"51","breitbart","text7215","5",0.447809885207008,"2018-10-28",4.9
"52","breitbart","text9393","2",0.619966924380922,"2018-11-22",4.9
"53","breitbart","text6696","2",0.533738618265545,"2018-10-21",4.9
"54","breitbart","text7707","5",0.546285099016711,"2018-11-02",4.9
"55","breitbart","text8835","1",0.57699780181836,"2018-11-16",4.9
"56","breitbart","text7103","2",0.588310263846915,"2018-10-27",4.9
"57","breitbart","text7357","4",0.309317331450448,"2018-10-29",4.9
"58","breitbart","text7272","5",0.414932056975612,"2018-10-28",4.9
"59","breitbart","text8157","4",0.550383268472254,"2018-11-06",4.9
"60","breitbart","text8331","3",0.697957951472973,"2018-11-09",4.9
"61","breitbart","text6032","2",0.601144859827078,"2018-10-06",4.9
"62","breitbart","text6478","2",0.429315929153515,"2018-10-18",4.9
"63","breitbart","text7018","1",0.487155630923367,"2018-10-25",4.9
"64","breitbart","text7722","3",0.591653810582626,"2018-11-02",4.9
"65","breitbart","text7407","4",0.37109121092331,"2018-10-31",4.9
"66","breitbart","text6321","4",0.385086625528845,"2018-10-17",4.9
"67","breitbart","text5838","2",0.382061992434417,"2018-10-05",4.9
"68","breitbart","text8076","4",0.793740474510247,"2018-11-06",4.9
"69","breitbart","text6324","4",0.808567018906553,"2018-10-17",4.9
"70","breitbart","text9478","3",0.885803636078819,"2018-11-23",4.9
"71","breitbart","text6714","1",0.384310814113164,"2018-10-22",4.9
"72","breitbart","text7369","5",0.45570774460969,"2018-10-30",4.9
"73","breitbart","text8505","3",0.6618945082174,"2018-11-11",4.9
"74","breitbart","text7853","2",0.779149424504047,"2018-11-04",4.9
"75","breitbart","text6437","2",0.522691225046187,"2018-10-17",4.9
"76","breitbart","text6242","3",0.762277584863452,"2018-10-15",4.9
"77","breitbart","text9105","5",0.340377702508108,"2018-11-19",4.9
"78","breitbart","text9588","1",0.54319681794231,"2018-11-26",4.9
"79","breitbart","text7004","4",0.528949108844464,"2018-10-25",4.9
"80","breitbart","text7346","1",0.515547031946608,"2018-10-29",4.9
"81","breitbart","text7991","2",0.607458886010398,"2018-11-06",4.9
"82","breitbart","text6135","4",0.593301305017191,"2018-10-14",4.9
"83","breitbart","text7628","2",0.435205770984117,"2018-11-02",4.9
"84","breitbart","text8968","2",0.482131398308359,"2018-11-16",4.9
"85","breitbart","text8431","1",0.428738405765946,"2018-11-11",4.9
"86","breitbart","text5575","2",0.812548774253629,"2018-10-01",4.9
"87","breitbart","text6263","3",0.605716474689707,"2018-10-16",4.9
"88","breitbart","text6320","1",0.420374131076148,"2018-10-16",4.9
"89","breitbart","text9824","1",0.735087115117404,"2018-11-28",4.9
"90","breitbart","text7770","4",0.547733712572777,"2018-11-02",4.9
"91","breitbart","text6710","2",0.788362578191093,"2018-10-21",4.9
"92","breitbart","text7192","2",0.457372865069294,"2018-10-27",4.9
"93","breitbart","text8266","2",0.537382610319549,"2018-11-08",4.9
"94","breitbart","text7220","5",0.329294961999506,"2018-10-28",4.9
"95","breitbart","text9920","3",0.588335497001304,"2018-11-30",4.9
"96","breitbart","text6570","2",0.570554796164001,"2018-10-19",4.9
"97","breitbart","text7253","3",0.768093532099473,"2018-10-29",4.9
"98","breitbart","text8922","1",0.358792265719945,"2018-11-16",4.9
"99","breitbart","text6680","4",0.473929405980355,"2018-10-20",4.9
"100","breitbart","text6219","4",0.454196987569462,"2018-10-16",4.9
"101","breitbart","text8287","3",0.518862411120094,"2018-11-09",4.9
"102","breitbart","text6665","2",0.588438028916175,"2018-10-21",4.9
"103","breitbart","text6790","4",0.372495610371324,"2018-10-22",4.9
"104","breitbart","text5979","3",0.282341683296527,"2018-10-05",4.9
"105","breitbart","text7575","1",0.521716732720347,"2018-11-01",4.9
"106","breitbart","text7225","1",0.405848463220191,"2018-10-28",4.9
"107","breitbart","text6813","2",0.45928159788648,"2018-10-22",4.9
"108","breitbart","text7409","2",0.630085714007812,"2018-10-30",4.9
"109","breitbart","text7602","3",0.489419385553553,"2018-11-01",4.9
"110","breitbart","text9817","2",0.404504937410182,"2018-11-28",4.9
"111","breitbart","text7798","2",0.527543788124028,"2018-11-04",4.9
"112","breitbart","text8228","4",0.763498343470419,"2018-11-07",4.9
"113","breitbart","text9403","5",0.498587876086545,"2018-11-22",4.9
"114","breitbart","text6266","1",0.34808063490018,"2018-10-16",4.9
"115","breitbart","text6243","4",0.633426177778304,"2018-10-16",4.9
"116","breitbart","text9484","3",0.639257092149442,"2018-11-23",4.9
"117","breitbart","text7171","5",0.61360338471438,"2018-10-28",4.9
"118","breitbart","text7191","1",0.408652040672586,"2018-10-28",4.9
"119","breitbart","text8397","2",0.385671486942558,"2018-11-10",4.9
"120","breitbart","text7190","1",0.463643501728097,"2018-10-28",4.9
"121","breitbart","text8224","2",0.558555640984099,"2018-11-08",4.9
"122","breitbart","text5672","1",0.352341878813991,"2018-10-02",4.9
"123","breitbart","text8027","4",0.610395779138727,"2018-11-06",4.9
"124","breitbart","text8939","2",0.683265062071602,"2018-11-16",4.9
"125","breitbart","text6521","4",0.358974078792588,"2018-10-18",4.9
"126","breitbart","text7596","3",0.543075511494925,"2018-11-01",4.9
"127","breitbart","text6125","4",0.426422935406351,"2018-10-15",4.9
"128","breitbart","text8477","3",0.705921683100796,"2018-11-11",4.9
"129","breitbart","text6778","4",0.323651538712767,"2018-10-22",4.9
"130","breitbart","text7918","2",0.538251312218198,"2018-11-05",4.9
"131","breitbart","text5655","2",0.490744488495644,"2018-10-02",4.9
"132","breitbart","text7705","1",0.372630064919854,"2018-11-02",4.9
"133","breitbart","text5610","1",0.437145905879984,"2018-10-01",4.9
"134","breitbart","text5798","2",0.495280319719154,"2018-10-03",4.9
"135","breitbart","text7224","1",0.332064702869483,"2018-10-29",4.9
"136","breitbart","text7724","1",0.371070257426486,"2018-11-02",4.9
"137","breitbart","text7172","1",0.58205984053519,"2018-10-28",4.9
"138","breitbart","text8562","3",0.838470948750244,"2018-11-13",4.9
"139","breitbart","text7903","1",0.498008887440986,"2018-11-04",4.9
"140","breitbart","text6948","2",0.375344153447475,"2018-10-24",4.9
"141","breitbart","text6523","2",0.651977533097235,"2018-10-18",4.9
"142","breitbart","text9735","2",0.427963932529709,"2018-11-27",4.9
"143","breitbart","text7181","5",0.62293166705739,"2018-10-28",4.9
"144","breitbart","text7175","5",0.405500594091,"2018-10-28",4.9
"145","breitbart","text7534","2",0.729181158403796,"2018-10-31",4.9
"146","breitbart","text7156","5",0.661044651554493,"2018-10-28",4.9
"147","breitbart","text7976","2",0.675636001571878,"2018-11-05",4.9
