"","outlet","document","topic","gamma","date","ideology"
"1","abcnews","text6","1",0.828953523821384,"2018-06-01",2.9
"2","abcnews","text32","1",0.715698013355772,"2018-06-01",2.9
"3","abcnews","text42","1",0.717243145929527,"2018-06-01",2.9
"4","abcnews","text46","1",0.844432659419524,"2018-06-01",2.9
"5","abcnews","text57","1",0.524858293433286,"2018-06-01",2.9
"6","abcnews","text106","1",0.372982160803974,"2018-06-01",2.9
"7","abcnews","text108","1",0.537818298196825,"2018-06-01",2.9
"8","abcnews","text114","1",0.734511963695267,"2018-06-01",2.9
"9","abcnews","text134","1",0.724535450313651,"2018-06-01",2.9
"10","abcnews","text137","1",0.714700011197571,"2018-06-01",2.9
"11","abcnews","text220","1",0.727638778097225,"2018-06-01",2.9
"12","abcnews","text4233","2",0.293974509781466,"2018-07-03",2.9
"13","abcnews","text208","3",0.361155080866355,"2018-06-03",2.9
"14","abcnews","text255","3",0.592979440679502,"2018-06-03",2.9
"15","abcnews","text1647","3",0.329918942364328,"2018-06-14",2.9
"16","abcnews","text1677","3",0.632760960002555,"2018-06-14",2.9
"17","abcnews","text3513","2",0.515546334159063,"2018-06-28",2.9
"18","abcnews","text3679","2",0.4472661242129,"2018-06-28",2.9
"19","abcnews","text5869","6",0.588619603174098,"2018-07-23",2.9
"20","abcnews","text5899","6",0.397147940221775,"2018-07-23",2.9
"21","abcnews","text6008","6",0.306181838363223,"2018-07-23",2.9
"22","abcnews","text3019","2",0.392418561558788,"2018-06-24",2.9
"23","abcnews","text1289","1",0.8427594871293,"2018-06-11",2.9
"24","abcnews","text93","2",0.316725766307017,"2018-06-01",2.9
"25","abcnews","text5321","1",0.905043425384203,"2018-07-14",2.9
"26","abcnews","text2706","2",0.6821412389728,"2018-06-21",2.9
"27","abcnews","text2778","2",0.671548826067385,"2018-06-21",2.9
"28","abcnews","text2866","2",0.6821412389728,"2018-06-21",2.9
"29","abcnews","text6601","1",0.916051177846729,"2018-07-30",2.9
"30","abcnews","text26","3",0.863171063965651,"2018-06-01",2.9
"31","abcnews","text269","6",0.598024198558321,"2018-06-03",2.9
"32","abcnews","text5999","1",0.346013729444538,"2018-07-24",2.9
"33","abcnews","text6004","1",0.626588652605478,"2018-07-24",2.9
"34","abcnews","text6044","1",0.878080421218091,"2018-07-24",2.9
"35","abcnews","text6059","1",0.430872293448938,"2018-07-24",2.9
"36","abcnews","text6114","1",0.804608487259044,"2018-07-24",2.9
"37","abcnews","text363","1",0.795357759430809,"2018-06-04",2.9
"38","abcnews","text2564","3",0.471832926108785,"2018-06-21",2.9
"39","abcnews","text2626","3",0.493880113134465,"2018-06-21",2.9
"40","abcnews","text1023","1",0.380402277099636,"2018-06-08",2.9
"41","abcnews","text1059","1",0.767648143571076,"2018-06-08",2.9
"42","abcnews","text3785","4",0.819423221159832,"2018-06-28",2.9
"43","abcnews","text481","1",0.858906299066057,"2018-06-04",2.9
"44","abcnews","text4198","5",0.410033487999185,"2018-07-03",2.9
"45","abcnews","text3614","5",0.593055248419789,"2018-06-28",2.9
"46","abcnews","text5274","6",0.480190456407676,"2018-07-14",2.9
"47","abcnews","text3165","1",0.816066345173394,"2018-06-25",2.9
"48","abcnews","text3223","1",0.747656366634848,"2018-06-25",2.9
"49","abcnews","text5348","1",0.929625845896247,"2018-07-15",2.9
"50","abcnews","text5356","1",0.954716613925855,"2018-07-15",2.9
"51","abcnews","text5389","1",0.855123717632778,"2018-07-15",2.9
"52","abcnews","text35","4",0.427360014489355,"2018-06-01",2.9
"53","abcnews","text131","4",0.427360014489355,"2018-06-01",2.9
"54","abcnews","text6507","1",0.657991175149075,"2018-07-28",2.9
"55","abcnews","text36","5",0.602785487316511,"2018-06-01",2.9
"56","abcnews","text123","5",0.557637620347881,"2018-06-01",2.9
"57","abcnews","text4843","1",0.550595793347299,"2018-07-10",2.9
"58","abcnews","text4862","1",0.444913037349306,"2018-07-10",2.9
"59","abcnews","text4899","1",0.626495832583994,"2018-07-10",2.9
"60","abcnews","text4984","1",0.524953842812516,"2018-07-10",2.9
"61","abcnews","text4989","1",0.75237150777491,"2018-07-10",2.9
"62","abcnews","text153","6",0.535960307759314,"2018-06-01",2.9
"63","abcnews","text2834","1",0.641118689128945,"2018-06-22",2.9
"64","abcnews","text2906","1",0.398687287462637,"2018-06-22",2.9
"65","abcnews","text2910","1",0.445314622601129,"2018-06-22",2.9
"66","abcnews","text2924","1",0.437530520352746,"2018-06-22",2.9
"67","abcnews","text1950","1",0.77209291292221,"2018-06-15",2.9
"68","abcnews","text6024","3",0.939375046802836,"2018-07-24",2.9
"69","abcnews","text1956","1",0.944484667883511,"2018-06-15",2.9
"70","abcnews","text155","1",0.763407855087632,"2018-06-02",2.9
"71","abcnews","text157","1",0.714177460337058,"2018-06-02",2.9
"72","abcnews","text190","1",0.914683993666929,"2018-06-02",2.9
"73","abcnews","text199","1",0.490926324453442,"2018-06-02",2.9
"74","abcnews","text209","1",0.36367145007667,"2018-06-02",2.9
"75","abcnews","text226","1",0.697746931785307,"2018-06-02",2.9
"76","abcnews","text243","1",0.702261724400996,"2018-06-02",2.9
"77","abcnews","text253","1",0.702476361688044,"2018-06-02",2.9
"78","abcnews","text259","1",0.887590001601685,"2018-06-02",2.9
"79","abcnews","text276","1",0.525553748020202,"2018-06-02",2.9
"80","abcnews","text279","1",0.342692430993837,"2018-06-02",2.9
"81","abcnews","text4302","3",0.346064654415871,"2018-07-04",2.9
