"","topic","term","beta"
"1",1,"a.m",0.00304516790706653
"2",2,"a.m",1.40321827861705e-07
"3",3,"a.m",0.000115102807181546
"4",4,"a.m",3.35347380870057e-15
"5",5,"a.m",0.000527833885681881
"6",6,"a.m",5.55593700530706e-06
"7",1,"abc",0.00391529059119806
"8",2,"abc",1.51136609730821e-10
"9",3,"abc",8.46417619925252e-07
"10",4,"abc",5.39792414262535e-06
"11",5,"abc",0.000612564220628158
"12",6,"abc",0.0010580758416239
"13",1,"able",0.000865365364846936
"14",2,"able",0.00100033293659102
"15",3,"able",0.00178134820113988
"16",4,"able",0.00132584673681929
"17",5,"able",0.000256449993443557
"18",6,"able",0.000228415499072463
"19",1,"access",4.65540697500206e-05
"20",2,"access",0.000956085821876101
"21",3,"access",0.000121336247333019
"22",4,"access",0.00333331285027264
"23",5,"access",0.000297839811166709
"24",6,"access",0.000943618292793553
"25",1,"according",0.0112402940527451
"26",2,"according",0.00419358120082952
"27",3,"according",3.26678887551744e-06
"28",4,"according",0.00128908753669652
"29",5,"according",0.00147928384121412
"30",6,"according",0.0074444444733747
"31",1,"account",3.5265054982906e-05
"32",2,"account",5.38371885331163e-05
"33",3,"account",0.000238418548252619
"34",4,"account",1.76520641315345e-05
"35",5,"account",0.000182173958543471
"36",6,"account",0.0034917131561321
"37",1,"accused",0.00152913949432796
"38",2,"accused",0.00061633124289746
"39",3,"accused",7.45172103984602e-06
"40",4,"accused",8.40170128747165e-05
"41",5,"accused",0.000856126772741679
"42",6,"accused",0.00246978539742757
"43",1,"across",0.000502913109112129
"44",2,"across",0.00313535856817627
"45",3,"across",0.00100119321613791
"46",4,"across",0.000176289822031476
"47",5,"across",0.000456208034320985
"48",6,"across",0.00300536737885517
"49",1,"act",1.76992603067848e-05
"50",2,"act",0.00135377219452909
"51",3,"act",0.000316711213509071
"52",4,"act",0.00420640919958156
"53",5,"act",0.000391199029247099
"54",6,"act",0.00146199006585746
"55",1,"action",3.05936390072769e-05
"56",2,"action",0.000480623344266874
"57",3,"action",0.000805067273716351
"58",4,"action",0.00349888559502138
"59",5,"action",0.000820771806062221
"60",6,"action",0.00106488667537089
"61",1,"actions",0.000785006478490974
"62",2,"actions",0.0011128780268128
"63",3,"actions",0.000142751932035821
"64",4,"actions",0.000615156612509979
"65",5,"actions",0.00026695646829931
"66",6,"actions",0.00048120090325699
"67",1,"actually",1.1012047209986e-06
"68",2,"actually",0.000715785621772457
"69",3,"actually",0.00231912162305886
"70",4,"actually",0.000608792607008338
"71",5,"actually",0.000475827146653595
"72",6,"actually",0.000126474095395565
"73",1,"added",0.0012134260510975
"74",2,"added",0.000776352164249973
"75",3,"added",0.000863989688737179
"76",4,"added",0.00076924412376017
"77",5,"added",0.000613515396738125
"78",6,"added",0.0040581912325633
"79",1,"adding",0.000888538218564474
"80",2,"adding",0.000318288722251134
"81",3,"adding",0.00031459228537097
"82",4,"adding",0.000153529223685631
"83",5,"adding",0.000339736651364411
"84",6,"adding",0.000989792790008445
"85",1,"administration",3.9495416824837e-19
"86",2,"administration",0.00825663811685569
"87",3,"administration",3.45024139475595e-12
"88",4,"administration",0.00249572786190927
"89",5,"administration",0.00117279978008297
"90",6,"administration",9.15431596107296e-07
"91",1,"afternoon",0.00131364240760791
"92",2,"afternoon",0.000148671565971388
"93",3,"afternoon",0.000214873731842078
"94",4,"afternoon",1.55604638137618e-06
"95",5,"afternoon",0.000350696770285746
"96",6,"afternoon",0.00102351040468759
"97",1,"age",0.000265979472189433
"98",2,"age",6.93023260107334e-06
"99",3,"age",0.00102495738048535
"100",4,"age",0.00120765492322009
"101",5,"age",0.000896218606683641
"102",6,"age",0.000253531218106249
"103",1,"agency",0.000337560520955903
"104",2,"agency",0.00363955239414446
"105",3,"agency",1.7924095593455e-05
"106",4,"agency",0.00139224751462881
"107",5,"agency",3.1901662078589e-05
"108",6,"agency",0.000310369859999001
"109",1,"ago",0.000233545236691708
"110",2,"ago",0.00128478735606846
